Id,Name,Specialization,Appointment1,Appointment2,Appointment3,Appointment4,Appointment5,Appointment6,Appointmen7,Password
61230001,Dr. Mohit Urkunde,Psychiatrist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230002,Dr.Aditya,Cardiology Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,Appointment Fix 	 slot : 2 pm to 3 pm 	 BY Patient: Nikhil Virkar 	 Disease : Diabeates ,SLOT AVAILABLESLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230003,Dr.Amol Fegade,Orthopedic,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,Appointment Fix 	 slot : 12 pm to 1 pm 	 BY Patient: Nikhil Virkar 	 Disease : Diabeates ,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230004,Dr.Kartik Shinde,Obtretrics  and Gynecology Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230005,Dr.Raju Moon,Opthalmology(Eye specialist),SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230006,Dr.Newton Fadanwis,Neurologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230007,Dr.Narendra Einstein,General Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230008,Dr.Amol Gandhi,Dermatologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230009,Dr.Pratik Jadhav,Cardiology Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230011,Dr. Prajyot Taur,Dermatologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230012,Dr.Virkumar Pawar,Dermatologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230013,Dr.Saurav Satpute,Opthalmology(Eye specialist),SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230014,Dr.Atharv Gurav,General Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230015,Dr.Mohit Bobade,Dentist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230016,Dr.Pratyush Doshi,Psychiatrist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230017,Dr.Abhinav Joshi,Urologist,SLOT AVAILABLE,Appointment Fix 	 slot : 10 am to 11 am 	 BY Patient: Ganesh Deshmukh 	 Disease : Heart Problem ,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230018,Dr.Shantanu Mundhe,Neurologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230019,Dr.Ashutosh Singh,Opthalmology(Eye specialist),SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230020,Dr.Aditya Chavan,Dentist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230021,Dr.Mahesh Shindekar,Urologist,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230022,Dr.Mamta Yadav,Obtretrics  and Gynecology Physician,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230023,ramaknt,nurse,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
61230024,mohit,ortho,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,22b91144cd86ad7f21f30e005010d6ef3c1833cd93397952a1b8d5e4ec6e5d43
61230025,MOhit,ortho,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,SLOT AVAILABLE,737f8f95d89bb05ba3f83e7ca3389b2d14ca732add2eeae4d3a1e4a97f77d466
